,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.059604549407958986,0.010423249671776574,0.009795808792114257,0.006048218914080124,True,5,auto,2,2,10,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.2138778798788653,0.6284573268684953,0.5130880394722517,0.31461455561965446,0.3458677573135889,0.40318111183057115,0.14818466514309686,2094
1,0.08046879768371581,0.007736498362628514,0.00575413703918457,0.0014692770333331218,True,5,auto,2,2,14,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 14}",0.21207758878939875,0.6238986247235687,0.5239499348079881,0.327672003162518,0.3470685664785418,0.40693334359240313,0.1473782430628918,1562
2,0.09673700332641602,0.006322715328596189,0.011235570907592774,0.00575887828985648,True,5,auto,2,2,18,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 18}",0.22026421080561165,0.6365691731181977,0.5254109349041358,0.3346040270954366,0.3511879547217851,0.41360726012903337,0.14814269578751954,931
3,0.11390438079833984,0.0036010958809322285,0.01193222999572754,0.00478365646968153,True,5,auto,2,2,23,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 23}",0.20837394079133464,0.6530688163333022,0.5222613384161664,0.32847708231687356,0.33495201157584964,0.40942663788670525,0.15786998972711327,1305
4,0.1588810443878174,0.015477900976033448,0.027117109298706053,0.009579185126662563,True,5,auto,2,2,27,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 27}",0.2154584076541659,0.6399292545938202,0.525196739057783,0.32712543383547976,0.33274534792950294,0.4080910366141504,0.15284137936927802,1489
5,0.229738187789917,0.008974308830774312,0.01895170211791992,0.009900518382178598,True,5,auto,2,2,32,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 32}",0.23227610628337836,0.6430049850150286,0.5358361930379502,0.3290573664690313,0.32311514052900747,0.4126579582668792,0.15216912823264475,1021
6,0.25078043937683103,0.02098417939959148,0.016958904266357423,0.008899091743940284,True,5,auto,2,2,36,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 36}",0.23488635032171923,0.6281796630119335,0.5348785817741184,0.3258490064923395,0.31632413135178283,0.40802354659037865,0.14812078994961242,1491
7,0.22423901557922363,0.013151131921561504,0.024420452117919923,0.010022066822388973,True,5,auto,2,2,41,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 41}",0.23684850337867902,0.632802750046795,0.5348786552961073,0.3226363920063665,0.3047714747992669,0.406387555105443,0.1509022057401332,1641
8,0.2577824115753174,0.01871969932178956,0.02413477897644043,0.0029014544583513963,True,5,auto,2,2,45,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 45}",0.24370066342055174,0.6256039573350431,0.5426823622456391,0.31234192810356765,0.30511295854896237,0.4058883739307528,0.14979920436543886,1740
9,0.2667819023132324,0.008287694983031625,0.022065258026123045,0.0068098305086181764,True,5,auto,2,2,50,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.24096941351018575,0.6292376203803599,0.5391461259424546,0.30900303274206853,0.30885163487252487,0.40544156548951876,0.15075986053482984,1753
10,0.06401605606079101,0.006885932545619582,0.009753799438476563,0.004344043112636264,True,5,auto,2,5,10,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.20752519662656244,0.6235296124252616,0.517926574587485,0.3218948974108471,0.3503224151493065,0.40423973923989254,0.14791694095100621,1915
11,0.07902464866638184,0.0035447120544629413,0.004955768585205078,0.000431218556211388,True,5,auto,2,5,14,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 14}",0.20967086835594384,0.6183956053421447,0.5260591273630418,0.33389861638286,0.34377665531035373,0.4063601745508688,0.14638368807983856,1662
12,0.08518681526184083,0.004496096817758522,0.007663536071777344,0.004263477919925941,True,5,auto,2,5,18,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 18}",0.21949962814730362,0.6313390862012794,0.5307638539833364,0.337904592171996,0.3445280614959252,0.41280704439996807,0.14785818628360906,984
13,0.11942167282104492,0.011756962554408041,0.03321089744567871,0.018688970363553915,True,5,auto,2,5,23,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 23}",0.20866714166533917,0.6520129943821751,0.5282526239499081,0.3284739415691734,0.3290888940928043,0.40929911913188005,0.15892107566871375,1326
